masterid,year,crop,volume_m3,area_m2,depth_m,system
null_geo9,1997,2,342389.3784,1011715,0.338425536,3
null_geo9,1997,2,161215.836,485623.2,0.331978,3
sheridan,1997,2,125913.6384,493716.92,0.255032656,4
null_geo9,1997,2,169998.2136,388498.56,0.4375785,4
sheridan,1997,2,247411.4184,930777.8,0.265812104,4
null_geo9,1997,2,90623.7756,230671.02,0.392871158,4
sheridan,1997,2,155418.48,542279.24,0.286602985,4
sheridan,1997,16,137125.9716,485623.2,0.2823718,3
sheridan,1997,24,145476.6312,501810.64,0.289904129,3
sheridan,1997,2,266419.3452,526091.8,0.506413477,4
null_geo9,1997,2,154530.3744,485623.2,0.3182112,3
sheridan,1997,2,170750.6364,607029,0.28128976,5
sheridan,1997,2,142392.9312,493716.92,0.288410754,4
null_geo9,1997,2,350221.9764,505857.5,0.692334912,3
null_geo9,1997,2,141837.8652,505857.5,0.280391616,4
sheridan,1997,2,138951.522,501810.64,0.276900968,3
null_geo9,1997,2,103994.6988,343983.1,0.302325741,3
null_geo9,1997,2,202734.7728,485623.2,0.4174744,3
null_geo9,1997,2,154653.7224,485623.2,0.3184652,3
sheridan,1997,2,428128.5732,1068371.04,0.400731182,3
null_geo9,1997,48,562873.9284,1970820.82,0.285604485,3
null_geo9,1997,2,71541.84,485623.2,0.14732,3
sheridan,1997,16,98937.4308,477529.48,0.207186508,3
sheridan,1997,2,206052.834,582747.84,0.353589167,3
null_geo9,1997,2,188056.3608,485623.2,0.3872484,3
sheridan,1997,2,140641.3896,497763.78,0.282547122,4
null_geo9,1997,2,358399.9488,942918.38,0.380097373,4
sheridan,1997,2,152482.7976,424920.3,0.3588512,4
null_geo9,1997,2,101145.36,465388.9,0.217335652,4
null_geo9,1997,2,261645.7776,469435.76,0.557363586,3
sheridan,1997,2,128047.5588,489670.06,0.261498248,4
sheridan,1997,2,186428.1672,485623.2,0.3838956,3
null_geo9,1997,2,133228.1748,404686,0.32921448,4
sheridan,1997,2,124791.1716,485623.2,0.2569718,4
sheridan,1997,2,97161.2196,546326.1,0.177845156,4
null_geo9,1997,2,321543.5664,667731.9,0.481547055,4
null_geo9,1997,2,174290.724,485623.2,0.358902,3
null_geo9,1997,2,152273.106,493716.92,0.308422623,4
sheridan,1997,2,147400.86,489670.06,0.301021488,4
null_geo9,1997,2,328784.094,1011715,0.32497776,4
null_geo9,1997,2,234533.8872,1092652.2,0.214646933,3
sheridan,1997,25,131908.3512,550372.96,0.239671412,3
sheridan,1997,2,234225.5172,445154.6,0.526167927,4
sheridan,1997,2,134918.0424,505857.5,0.266712192,4
null_geo9,1997,2,249927.7176,526091.8,0.475065969,4
sheridan,1997,2,293802.6012,971246.4,0.3025013,4
sheridan,1997,2,220089.8364,526091.8,0.418349723,4
sheridan,1997,2,202981.4688,825559.44,0.245872,4
null_geo9,1997,2,144181.4772,485623.2,0.2969006,3
sheridan,1997,24,117797.34,485623.2,0.24257,4
sheridan,1997,16,42925.104,283280.2,0.151529143,6
null_geo9,1997,25,252986.748,987433.84,0.256206885,4
